Title	URL	Status	Priority	Story Type	Estimate (Story Points)	Points Completed	Assignees	Contributors and % contribution	Quality Reviewer	Start date	End date (ready for QC by)	Deliverable / Sprint	Milestone
Requirements Wireframe 2	https://github.com/COS420-F25/TeamA/issues/53	Done					DeveauJoshua2002					D1	D1 Quality Checking Milestone
Non-Functional Requirements 3-4	https://github.com/COS420-F25/TeamA/issues/29	Done					bdube21					D1	D1 Quality Checking Milestone
Revise Project Description and Respond to Feedback	https://github.com/COS420-F25/TeamA/issues/23	Done					bdube21					D1	D1 Quality Checking Milestone
Non-Functional Requirements 5-6	https://github.com/COS420-F25/TeamA/issues/31	Done					DeveauJoshua2002					D1	D1 Quality Checking Milestone
Functional Requirements 13-16	https://github.com/COS420-F25/TeamA/issues/27	Done					DeveauJoshua2002					D1	D1 Quality Checking Milestone
Functional Requirements 1-4	https://github.com/COS420-F25/TeamA/issues/24	Done					AlexN-H					D1	D1 Quality Checking Milestone
Create React App (Start Implementation)	https://github.com/COS420-F25/TeamA/issues/54	Done					bdube21					D1	D1 Quality Checking Milestone
Revise User Stories	https://github.com/COS420-F25/TeamA/issues/22	Done					brendonprice					D1	D1 Quality Checking Milestone
Quality check on Requirements Wireframes	https://github.com/COS420-F25/TeamA/issues/59	Done					bdube21, brendonprice					D1	D1 Quality Checking Milestone
Non-Functional Requirements 7-8	https://github.com/COS420-F25/TeamA/issues/30	Done					brendonprice					D1	D1 Quality Checking Milestone
Functional Requirements 9-12	https://github.com/COS420-F25/TeamA/issues/26	Done					brendonprice					D1	D1 Quality Checking Milestone
Functional Requirements 5-8	https://github.com/COS420-F25/TeamA/issues/25	Done					bdube21					D1	D1 Quality Checking Milestone
Requirements Wireframe 1	https://github.com/COS420-F25/TeamA/issues/52	Done					AlexN-H					D1	D1 Quality Checking Milestone
Add Install and Build Instructions to README	https://github.com/COS420-F25/TeamA/issues/57	10-30% done					DeveauJoshua2002					D1	
Reproduce README Install + Build	https://github.com/COS420-F25/TeamA/issues/58	Todo / Sprint Backlog					brendonprice					D1	D1 Milestone